bottle_name,sales_status,price_usd,sales_date
Weller 12 Year Old 70cl,Winning Bid:,139,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,162,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,156,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,154,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,145,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,155,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,142,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,140,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,150,2022-08-08 00:00:00
Weller 12 Year Old 70cl,Winning Bid:,151,2022-08-08 00:00:00
